crew_id,crew_name,position,home_base,duty_date,duty_start,duty_end,flight_id,flight_hours,is_positioning,start_location,sectors,fdp_hours,acclimatisation
EA1,Ana Correia,Captain,LHR,2026-07-06,08:00,14:00,EA101,5.0,false,LHR,1,,acclimatised
EA1,Ana Correia,Captain,LHR,2026-07-09,08:00,15:00,EA102,5.5,false,LHR,1,,acclimatised
EA1,Ana Correia,Captain,LHR,2026-07-13,09:00,15:00,EA103,5.0,false,LHR,1,,acclimatised
EA1,Ana Correia,Captain,LHR,2026-07-17,08:00,14:30,EA104,5.2,false,LHR,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-10,06:00,16:00,EA200,8.0,false,FRA,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-11,06:00,16:00,EA201,8.0,false,FRA,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-12,06:00,16:00,EA202,8.0,false,FRA,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-13,06:00,16:00,EA203,8.0,false,FRA,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-14,06:00,16:00,EA204,8.0,false,FRA,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-15,06:00,16:00,EA205,8.0,false,FRA,1,,acclimatised
EA2,Boris Schäfer,Captain,FRA,2026-07-16,06:00,16:00,EA206,8.0,false,FRA,1,,acclimatised
EA3,Cleo Nakamura,First Officer,AMS,2026-07-20,06:00,18:00,EA301,9.0,false,AMS,1,,acclimatised
EA3,Cleo Nakamura,First Officer,AMS,2026-07-21,04:00,12:00,EA302,6.0,false,AMS,1,,acclimatised
EA3,Cleo Nakamura,First Officer,AMS,2026-07-25,06:00,19:30,EA303,10.0,false,AMS,1,,acclimatised
EA4,David Mensah,Captain,CDG,2026-07-28,10:00,14:00,EA401DHD,,true,CDG,,,acclimatised
EA4,David Mensah,Captain,CDG,2026-07-30,06:00,19:00,EA402,9.0,false,CDG,1,,acclimatised
